"PID","Height","Weight","Vertical","T.Q..Spring","L.A.T.","NSeasons","AnySeasons"
"408",745,80.75,217.8,37.5,3.4,10.98,8,1
"409",747,79.5,235.8,36,3.1,11.15,8,1
"410",748,81.75,229,35,3.39,11.65,2,1
"411",749,75.25,180.4,37.5,3.14,11.47,8,1
"412",750,81.5,280,30.5,3.61,12.78,1,1
"413",751,71.75,217.2,33,3.24,12.31,1,1
"414",752,82.75,291.8,27.5,3.55,11.4,8,1
"415",753,76.5,198.4,34.5,3.37,11.03,6,1
"416",754,81.75,226.6,36,3.21,11.7,8,1
"417",755,80.25,207.8,32,3.44,11.69,3,1
"418",756,82.25,245.2,35.5,3.25,11.74,8,1
"419",757,81.5,301.8,28.5,3.7,13.44,0,0
"420",758,81.25,231.6,30.5,3.23,11.65,0,0
"421",760,79.75,240.2,28.5,3.41,11.83,2,1
"422",762,77.75,225.8,36,3.31,10.87,3,1
"423",763,80,211,34.5,3.22,11.73,8,1
"424",764,78.5,210.2,36.5,3.18,11.1,5,1
"425",765,78.5,203.6,34,3.25,11.68,1,1
"426",766,79.75,226.6,33,3.2,10.89,4,1
"427",767,75.25,195.2,38.5,3.19,11.25,2,1
"428",768,79.25,206.4,37,3.14,11.43,8,1
"429",769,77,216,32.5,3.31,10.88,3,1
"430",771,78.25,210,32,3.36,11.59,0,0
"431",772,81,233.4,31.5,3.24,11.61,1,1
"432",773,83,246.6,29,3.35,12.1,8,1
"433",774,81.5,269.2,30.5,3.39,12.32,3,1
"434",775,83.75,268.2,26.5,3.33,12.07,0,0
"435",776,81.25,239.6,33.5,3.25,11.14,8,1
"436",778,77,191.6,30.5,3.49,11.27,1,1
"437",779,83.75,230.2,28.5,3.37,11.33,0,0
"438",780,79.75,213.2,37.5,3.23,11.65,0,0
"439",781,82.5,222.4,28,3.27,12.49,6,1
"440",783,77.75,227,33,3.38,11.39,8,1
"441",784,77,208.8,32,3.17,11.43,0,0
"442",785,79,213.8,34.5,3.27,11.06,8,1
"443",786,81.75,237.4,33.5,3.29,11.15,6,1
"444",787,82,210.2,32.5,3.37,11.61,2,1
"445",789,76,195.6,39,3.14,10.84,8,1
"446",790,75.75,208.4,31.5,3.5,11.21,1,1
"447",791,77,202.6,40,3.15,11.38,0,0
"448",792,83.5,226.6,31.5,3.54,11.83,6,1
"449",793,83,217,36,3.35,11.88,1,1
"450",794,77.25,194.6,38.5,3.09,10.74,0,0
"451",795,78,192.6,36,3.17,10.96,7,1
"452",796,79.75,222.2,39,3.15,11.12,7,1
"453",797,73.75,174.4,38.5,3.22,10.07,6,1
"454",798,78.5,196.6,35,3.37,10.94,0,0
"455",799,82,237.6,34.5,3.27,11.85,0,0
"456",800,76,187.8,31,3.27,11.45,0,0
"457",801,79.5,224.6,35,3.26,11.35,7,1
"458",802,74.5,196,33,3.21,10.42,0,0
"459",803,74.75,197.6,37,3.1,10.33,3,1
"460",804,80.5,228.4,32,3.3,11.47,5,1
"461",805,80.75,228,33,3.3,11.92,3,1
"462",806,79.75,222.8,37.5,3.17,10.96,7,1
"463",807,80.25,186.8,37,3.07,11.68,2,1
"464",808,78.5,204.6,36,3.18,10.47,1,1
"465",810,81.25,241.8,33,3.26,11.51,0,0
"466",811,75.25,216.4,34,3.18,11.68,2,1
"467",812,82,219.8,38,3.14,11.21,1,1
"468",813,75.25,186.2,35,3.27,10.75,7,1
"469",814,83.25,259.2,32.5,3.26,11.3,7,1
"470",815,75.25,176.8,37.5,3.07,10.74,6,1
"471",816,77.5,198.2,35.5,3.09,11.2,3,1
"472",817,79,227.4,32,3.15,11.45,7,1
"473",818,76.25,205,40.5,3.13,11,1,1
"474",819,83.5,223.2,36.5,3.36,10.82,7,1
"475",821,78.5,216.2,33,3.25,10.81,0,0
"476",822,74.5,209,39,3.18,11.23,7,1
"477",823,75.25,204,33,3.19,11.55,0,0
"478",824,76,191.4,34.5,3.31,11.12,7,1
"479",825,77.25,190,32,3.2,11,4,1
"480",828,81.75,221.2,31.5,3.29,11.05,7,1
"481",829,79.25,207.2,33.5,3.02,11.74,0,0
"482",830,75,194.6,42,3.2,11.13,2,1
"483",831,77.5,221.8,42,3.18,11.1,7,1
"484",832,80.5,228,30,3.21,11.22,6,1
"485",833,81,230.2,37.5,3.09,11.33,3,1
"486",834,80,241.6,30.5,3.46,12.43,0,0
"487",835,81.25,252.8,36,3.36,12.43,0,0
"488",836,75.5,187.6,34,3.17,11.05,2,1
"489",837,70.25,186,40,3.14,10.49,7,1
"490",838,80.75,223,36.5,3.29,11.31,4,1
"491",839,81.75,239,30.5,3.41,11.72,1,1
"492",840,79.25,205.6,31.5,3.24,10.99,7,1
"493",841,80.75,227.4,35,3.26,10.92,7,1
"494",842,82.5,262.4,33.5,3.29,11.26,3,1
"495",843,83.75,259.8,25,3.27,12.02,7,1
"496",844,73,184,39.5,3.16,10.87,7,1
"497",845,80.75,248.4,34.5,3.23,11.03,6,1
"498",846,81,247.2,30.5,3.45,12.74,1,1
"499",847,79.75,223.8,37,3.28,10.48,6,1
"500",848,80,227.8,39.5,3.16,10.93,6,1
"501",849,78,174.4,34,3.6,12.5,6,1
"502",850,76.75,201.8,39,3.28,10.95,6,1
"503",851,74.25,202.4,29.5,3.47,11.68,0,0
"504",852,77,214.6,32.5,3.43,11.4,0,0
"505",853,78.5,241.2,34.5,3.37,11.45,6,1
"506",856,75.25,188.2,40,3.19,10.82,0,0
"507",857,83.75,278.6,33.5,3.39,10.83,6,1
"508",858,77.75,192,36.5,3.33,10.59,1,1
"509",859,83.5,264.2,33.5,3.29,12.35,3,1
"510",860,80.75,239,34,3.49,11.35,1,1
"511",861,79.5,235.6,33,3.4,11.01,6,1
"512",862,81,217.4,32.5,3.38,10.63,4,1
"513",863,80.75,206.6,37,3.25,10.87,6,1
"514",865,71.75,186.8,35,3.42,11,0,0
"515",866,80.5,218,30,3.41,11.56,2,1
"516",867,82,229.8,32.5,3.4,11.84,3,1
"517",868,76.25,212,36.5,3.37,11.36,5,1
"518",869,77.25,223.8,39.5,3.25,10.98,3,1
"519",870,75,212,41.5,3.21,10.76,2,1
"520",871,83.25,233.8,38.5,3.19,11.31,3,1
"521",872,81.5,252,34.5,3.4,11.57,5,1
"522",873,79.5,251.2,32.5,3.6,11.94,1,1
"523",875,79.5,232.8,35.5,3.18,11.77,6,1
"524",876,76.75,199.4,33.5,3.41,11.12,2,1
"525",877,77.25,179.2,38,3.25,10.98,6,1
"526",878,85.25,249.8,32.5,3.41,11.34,6,1
"527",879,74.75,188.8,39.5,3.34,11.15,6,1
